Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,Project Management,Computer Forensics Fundamentals,Technical Communication,AI ML,Software Engineering,Business Analysis,Communication skills,Data Science,Troubleshooting skills,Graphics Designing,Role
Average,Average,Beginner,Average,Intermediate,Excellent,Excellent,Beginner,Average,Beginner,Average,Professional,Intermediate,Average,Beginner,Professional,Intermediate,Software Developer
Intermediate,Poor,Poor,Poor,Intermediate,Excellent,Excellent,Intermediate,Poor,Average,Intermediate,Professional,Average,Average,Intermediate,Not Interested,Beginner,Software Developer
Intermediate,Intermediate,Intermediate,Professional,Intermediate,Excellent,Excellent,Professional,Beginner,Excellent,Beginner,Professional,Not Interested,Average,Not Interested,Beginner,Poor,Software Developer
Intermediate,Intermediate,Average,Beginner,Excellent,Excellent,Excellent,Intermediate,Professional,Beginner,Average,Professional,Professional,Average,Beginner,Beginner,Poor,Software Developer
Beginner,Excellent,Excellent,Average,Professional,Excellent,Excellent,Not Interested,Average,Not Interested,Average,Professional,Average,Average,Average,Not Interested,Average,Software Developer
Professional,Professional,Excellent,Beginner,Excellent,Excellent,Excellent,Average,Professional,Beginner,Beginner,Professional,Not Interested,Average,Average,Beginner,Intermediate,Software Developer
Poor,Poor,Not Interested,Beginner,Beginner,Excellent,Excellent,Not Interested,Poor,Beginner,Intermediate,Professional,Intermediate,Average,Professional,Professional,Beginner,Software Developer
Average,Professional,Excellent,Average,Intermediate,Excellent,Excellent,Professional,Poor,Intermediate,Not Interested,Professional,Professional,Average,Poor,Average,Beginner,Software Developer
Beginner,Professional,Average,Not Interested,Excellent,Excellent,Excellent,Poor,Professional,Poor,Poor,Professional,Poor,Average,Not Interested,Professional,Excellent,Software Developer
Intermediate,Professional,Beginner,Excellent,Excellent,Excellent,Excellent,Intermediate,Average,Intermediate,Beginner,Professional,Beginner,Average,Average,Beginner,Not Interested,Software Developer
Intermediate,Not Interested,Average,Excellent,Beginner,Excellent,Excellent,Poor,Poor,Intermediate,Beginner,Professional,Intermediate,Average,Poor,Beginner,Average,Software Developer
Beginner,Intermediate,Intermediate,Intermediate,Poor,Excellent,Excellent,Beginner,Intermediate,Beginner,Poor,Professional,Intermediate,Average,Average,Average,Excellent,Software Developer
Beginner,Average,Poor,Professional,Excellent,Excellent,Excellent,Excellent,Intermediate,Not Interested,Intermediate,Professional,Excellent,Average,Professional,Excellent,Poor,Software Developer
Intermediate,Not Interested,Not Interested,Average,Poor,Excellent,Excellent,Average,Excellent,Beginner,Professional,Professional,Average,Average,Beginner,Intermediate,Poor,Software Developer
Average,Poor,Average,Professional,Poor,Excellent,Excellent,Intermediate,Intermediate,Beginner,Intermediate,Professional,Poor,Average,Poor,Average,Not Interested,Software Developer
Professional,Beginner,Poor,Poor,Poor,Excellent,Excellent,Average,Poor,Professional,Poor,Professional,Poor,Average,Not Interested,Intermediate,Poor,Software Developer
Beginner,Intermediate,Average,Beginner,Intermediate,Excellent,Excellent,Not Interested,Intermediate,Average,Average,Professional,Not Interested,Average,Excellent,Excellent,Beginner,Software Developer
Excellent,Not Interested,Beginner,Poor,Average,Excellent,Excellent,Not Interested,Beginner,Professional,Professional,Professional,Intermediate,Average,Beginner,Not Interested,Poor,Software Developer
Average,Intermediate,Beginner,Average,Average,Excellent,Excellent,Beginner,Average,Poor,Professional,Professional,Beginner,Average,Poor,Excellent,Intermediate,Software Developer
Poor,Poor,Professional,Intermediate,Beginner,Excellent,Excellent,Not Interested,Average,Poor,Intermediate,Professional,Not Interested,Average,Poor,Not Interested,Not Interested,Software Developer
Poor,Intermediate,Not Interested,Average,Beginner,Excellent,Excellent,Beginner,Beginner,Professional,Not Interested,Professional,Professional,Average,Not Interested,Not Interested,Not Interested,Software Developer
Average,Average,Excellent,Average,Beginner,Excellent,Excellent,Intermediate,Poor,Beginner,Beginner,Professional,Excellent,Average,Average,Average,Average,Software Developer
Intermediate,Average,Poor,Intermediate,Intermediate,Excellent,Excellent,Excellent,Average,Not Interested,Excellent,Professional,Intermediate,Average,Intermediate,Beginner,Average,Software Developer
Beginner,Poor,Intermediate,Poor,Not Interested,Excellent,Excellent,Excellent,Intermediate,Beginner,Excellent,Professional,Intermediate,Average,Intermediate,Not Interested,Professional,Software Developer
Poor,Professional,Beginner,Beginner,Beginner,Excellent,Excellent,Not Interested,Beginner,Average,Beginner,Professional,Poor,Average,Poor,Professional,Professional,Software Developer
Poor,Poor,Beginner,Professional,Beginner,Excellent,Excellent,Poor,Excellent,Professional,Beginner,Professional,Professional,Average,Poor,Professional,Average,Software Developer
Not Interested,Average,Not Interested,Professional,Poor,Excellent,Excellent,Professional,Poor,Not Interested,Average,Professional,Professional,Average,Average,Average,Not Interested,Software Developer
Poor,Intermediate,Poor,Not Interested,Beginner,Excellent,Excellent,Beginner,Professional,Beginner,Intermediate,Professional,Not Interested,Average,Average,Average,Intermediate,Software Developer
Professional,Average,Intermediate,Average,Beginner,Excellent,Excellent,Professional,Poor,Poor,Intermediate,Professional,Not Interested,Average,Beginner,Average,Beginner,Software Developer
Not Interested,Beginner,Average,Beginner,Not Interested,Excellent,Excellent,Average,Excellent,Not Interested,Average,Professional,Beginner,Average,Beginner,Intermediate,Average,Software Developer
Beginner,Beginner,Average,Average,Poor,Excellent,Excellent,Beginner,Beginner,Poor,Average,Professional,Intermediate,Average,Professional,Poor,Intermediate,Software Developer
Professional,Average,Not Interested,Excellent,Not Interested,Excellent,Excellent,Beginner,Poor,Average,Professional,Professional,Poor,Average,Not Interested,Beginner,Beginner,Software Developer
Intermediate,Average,Beginner,Average,Intermediate,Excellent,Excellent,Average,Average,Professional,Beginner,Professional,Not Interested,Average,Not Interested,Beginner,Beginner,Software Developer
Poor,Not Interested,Professional,Intermediate,Beginner,Excellent,Excellent,Beginner,Average,Intermediate,Average,Professional,Poor,Average,Poor,Excellent,Professional,Software Developer
Excellent,Professional,Not Interested,Beginner,Beginner,Excellent,Excellent,Intermediate,Beginner,Not Interested,Average,Professional,Average,Average,Intermediate,Excellent,Poor,Software Developer
Not Interested,Poor,Average,Average,Not Interested,Excellent,Excellent,Not Interested,Intermediate,Poor,Professional,Professional,Beginner,Average,Professional,Average,Average,Software Developer
Poor,Poor,Not Interested,Intermediate,Poor,Excellent,Excellent,Average,Not Interested,Intermediate,Excellent,Professional,Intermediate,Average,Not Interested,Intermediate,Professional,Software Developer
Average,Poor,Beginner,Not Interested,Professional,Excellent,Excellent,Not Interested,Intermediate,Beginner,Poor,Professional,Professional,Average,Not Interested,Average,Beginner,Software Developer
Poor,Intermediate,Poor,Average,Intermediate,Excellent,Excellent,Average,Not Interested,Not Interested,Professional,Professional,Beginner,Average,Average,Intermediate,Average,Software Developer
Intermediate,Excellent,Excellent,Poor,Professional,Excellent,Excellent,Average,Intermediate,Beginner,Beginner,Professional,Poor,Average,Intermediate,Beginner,Beginner,Software Developer
Professional,Not Interested,Not Interested,Poor,Professional,Excellent,Excellent,Poor,Intermediate,Not Interested,Professional,Professional,Poor,Average,Intermediate,Beginner,Average,Software Developer
Intermediate,Beginner,Beginner,Average,Not Interested,Excellent,Excellent,Professional,Not Interested,Beginner,Professional,Professional,Beginner,Average,Excellent,Not Interested,Intermediate,Software Developer
Average,Not Interested,Average,Intermediate,Not Interested,Excellent,Excellent,Poor,Not Interested,Beginner,Professional,Professional,Not Interested,Average,Professional,Intermediate,Not Interested,Software Developer
Excellent,Average,Not Interested,Excellent,Beginner,Excellent,Excellent,Average,Average,Not Interested,Beginner,Professional,Intermediate,Average,Intermediate,Beginner,Poor,Software Developer
Not Interested,Not Interested,Beginner,Average,Average,Excellent,Excellent,Average,Intermediate,Professional,Intermediate,Professional,Beginner,Average,Intermediate,Average,Poor,Software Developer
Beginner,Beginner,Poor,Intermediate,Average,Excellent,Excellent,Not Interested,Not Interested,Intermediate,Professional,Professional,Intermediate,Average,Intermediate,Beginner,Professional,Software Developer
Intermediate,Intermediate,Professional,Intermediate,Poor,Excellent,Excellent,Average,Beginner,Professional,Poor,Professional,Poor,Average,Intermediate,Beginner,Intermediate,Software Developer
Not Interested,Professional,Average,Poor,Poor,Excellent,Excellent,Professional,Intermediate,Excellent,Poor,Professional,Average,Average,Average,Average,Average,Software Developer
Not Interested,Beginner,Professional,Beginner,Average,Excellent,Excellent,Beginner,Beginner,Average,Poor,Professional,Average,Average,Beginner,Beginner,Beginner,Software Developer
Average,Beginner,Intermediate,Not Interested,Average,Excellent,Excellent,Intermediate,Beginner,Intermediate,Not Interested,Professional,Intermediate,Average,Beginner,Average,Excellent,Software Developer
Average,Not Interested,Not Interested,Average,Not Interested,Excellent,Excellent,Not Interested,Not Interested,Beginner,Beginner,Professional,Average,Average,Intermediate,Professional,Poor,Software Developer
Average,Beginner,Average,Intermediate,Beginner,Excellent,Excellent,Poor,Average,Intermediate,Intermediate,Professional,Intermediate,Average,Average,Beginner,Intermediate,Software Developer
Not Interested,Not Interested,Intermediate,Not Interested,Intermediate,Excellent,Excellent,Poor,Not Interested,Intermediate,Beginner,Professional,Average,Average,Average,Beginner,Intermediate,Software Developer
Beginner,Average,Not Interested,Poor,Average,Excellent,Excellent,Poor,Beginner,Beginner,Beginner,Professional,Not Interested,Average,Average,Poor,Beginner,Software Developer
Average,Average,Not Interested,Beginner,Beginner,Excellent,Excellent,Professional,Not Interested,Poor,Poor,Professional,Beginner,Average,Beginner,Intermediate,Poor,Software Developer
Beginner,Professional,Intermediate,Average,Not Interested,Excellent,Excellent,Poor,Beginner,Not Interested,Professional,Professional,Poor,Average,Intermediate,Beginner,Beginner,Software Developer
Average,Beginner,Poor,Average,Intermediate,Excellent,Excellent,Beginner,Not Interested,Poor,Poor,Professional,Intermediate,Average,Poor,Professional,Professional,Software Developer
Poor,Professional,Not Interested,Professional,Beginner,Excellent,Excellent,Poor,Excellent,Average,Beginner,Professional,Average,Average,Poor,Professional,Beginner,Software Developer
Intermediate,Average,Average,Poor,Not Interested,Excellent,Excellent,Beginner,Beginner,Not Interested,Not Interested,Professional,Beginner,Average,Professional,Average,Intermediate,Software Developer
Not Interested,Average,Beginner,Not Interested,Average,Excellent,Excellent,Excellent,Average,Professional,Average,Professional,Professional,Average,Not Interested,Poor,Excellent,Software Developer
Intermediate,Poor,Poor,Intermediate,Poor,Excellent,Excellent,Average,Intermediate,Intermediate,Average,Professional,Beginner,Average,Poor,Not Interested,Not Interested,Software Developer
Not Interested,Not Interested,Intermediate,Intermediate,Not Interested,Excellent,Excellent,Poor,Excellent,Poor,Intermediate,Professional,Beginner,Average,Beginner,Beginner,Poor,Software Developer
Poor,Professional,Not Interested,Beginner,Beginner,Excellent,Excellent,Professional,Professional,Average,Beginner,Professional,Average,Average,Excellent,Professional,Average,Software Developer
Poor,Average,Average,Poor,Poor,Excellent,Excellent,Intermediate,Average,Beginner,Beginner,Professional,Beginner,Average,Professional,Poor,Average,Software Developer
Average,Average,Average,Intermediate,Beginner,Excellent,Excellent,Not Interested,Average,Not Interested,Poor,Professional,Not Interested,Average,Average,Average,Not Interested,Software Developer
Not Interested,Beginner,Average,Poor,Average,Excellent,Excellent,Poor,Average,Professional,Average,Professional,Not Interested,Average,Poor,Intermediate,Not Interested,Software Developer
Beginner,Professional,Beginner,Intermediate,Beginner,Excellent,Excellent,Intermediate,Not Interested,Intermediate,Poor,Professional,Intermediate,Average,Professional,Poor,Not Interested,Software Developer
Not Interested,Poor,Intermediate,Not Interested,Intermediate,Excellent,Excellent,Intermediate,Poor,Intermediate,Average,Professional,Average,Average,Not Interested,Poor,Not Interested,Software Developer
Beginner,Beginner,Poor,Poor,Excellent,Excellent,Excellent,Excellent,Beginner,Beginner,Professional,Professional,Not Interested,Average,Average,Beginner,Professional,Software Developer
Not Interested,Average,Average,Average,Poor,Excellent,Excellent,Average,Average,Beginner,Intermediate,Professional,Professional,Average,Poor,Average,Average,Software Developer
Not Interested,Professional,Beginner,Poor,Intermediate,Excellent,Excellent,Average,Not Interested,Average,Average,Professional,Intermediate,Average,Average,Not Interested,Beginner,Software Developer
Professional,Not Interested,Average,Intermediate,Beginner,Excellent,Excellent,Professional,Not Interested,Beginner,Poor,Professional,Poor,Average,Intermediate,Not Interested,Average,Software Developer
Professional,Poor,Average,Intermediate,Beginner,Excellent,Excellent,Not Interested,Professional,Average,Average,Professional,Beginner,Average,Average,Average,Poor,Software Developer
Not Interested,Intermediate,Average,Poor,Beginner,Excellent,Excellent,Average,Average,Poor,Intermediate,Professional,Professional,Average,Not Interested,Not Interested,Poor,Software Developer
Average,Beginner,Poor,Beginner,Intermediate,Excellent,Excellent,Average,Intermediate,Poor,Not Interested,Professional,Professional,Average,Average,Not Interested,Average,Software Developer
Professional,Professional,Beginner,Beginner,Average,Excellent,Excellent,Professional,Intermediate,Average,Beginner,Professional,Average,Average,Poor,Not Interested,Intermediate,Software Developer
Not Interested,Beginner,Beginner,Not Interested,Not Interested,Excellent,Excellent,Beginner,Not Interested,Average,Excellent,Professional,Not Interested,Average,Intermediate,Excellent,Intermediate,Software Developer
